signal,n_days,ff5_added,m1_coef,m1_tstat,m1_pval,m2_coef,m2_tstat,m2_pval,m3_coef,m3_tstat,m3_pval,m2_to_m3_pct,m3_sig
vol_price_divergence_z,435,"['rmw_beta', 'cma_beta']",0.000225,2.13,0.0337,0.000193,1.898,0.0584,0.000175,1.754,0.0802,-9.4,no
vol_surprise_z,435,"['rmw_beta', 'cma_beta']",0.000226,2.162,0.0312,0.000227,2.26,0.0243,0.000213,2.22,0.0269,-6.0,YES
