,AAPL,MSFT,NVDA,AMZN,META,GOOGL,LLY,JPM,TSLA,UNH,V,XOM,AVGO,MA,JNJ,PG,COST,HD,MRK,ABBV,CVX,KO,WMT,PEP,ADBE,CRM,AMD,NFLX,BAC,TMO,ACN,MCD,CSCO,ABT,WFC,LIN,DHR,TXN,NEE,PM,ORCL,DIS,QCOM,RTX,AMGN,BMY,HON,UNP,IBM,COP,SPGI,CAT,INTU,GE,LOW,MS,GS,AXP,SBUX,AMAT,ADI,GILD,MDLZ,REGN,C,MMC,TJX,CI,DE,BLK,ISRG,SYK,VRTX,ZTS,CB,MO,SO,EOG,BSX,NOC,PGR,USB,ITW,CME,DUK,APD,MCO,FDX,TGT,HUM,CL,EQIX,AON,NSC,EMR,ETN,MMM,PLD
2024-05-22,-0.6153633944034136,-0.7851884533719241,-2.446530174697919,-1.1493777843977022,-1.443004422436843,-0.9600009030853519,-0.2888932974488428,-0.22092070512528167,-1.7761432004899418,0.09948822802935331,-0.20632279362291728,-0.030216902511781187,-1.811882362669162,-0.269853129732386,0.3193282242321385,0.25498919931929415,-0.38945821784617596,-0.49431839118379395,0.2650605678074898,0.18670049730870716,-0.12273398634752912,0.1987095348848466,0.05602049318552911,0.25354457782191214,-1.160914207016192,-0.8611589006742315,-2.503761051791181,-1.3169803381467071,-0.4569069825928783,-0.35421706277797754,-0.6633357854065703,0.04457980498896726,-0.35095585287541636,0.11567731935159772,-0.4233597281904313,-0.06635876760988862,-0.3469841481640451,-1.0420175893301422,0.06645765572944051,-0.01843126140800979,-1.0596649449261522,-0.5942720013091985,-1.4778121727350817,-0.026664614202767584,-0.18059154332758534,0.057178500258314766,-0.1062745178717609,-0.12633026494142255,-0.39526192296647455,-0.17728658635139094,-0.30649774318688977,-0.9414764770369668,-0.9329084028950052,-0.653143039878335,-0.5228443359638003,-0.5822253144074072,-0.4935457014628433,-0.5670892157624776,-0.4127159998878648,-1.7628279718717912,-1.1215819194155927,0.02234661776759736,0.19802191702836286,-0.06350066632532587,-0.42367608716002597,0.11340615074590103,-0.11969350668712835,-0.02557607882382193,-0.476792357515903,-0.6270909822802294,-0.7792459630736959,-0.2708816419968353,-0.14070445422655847,-0.5000040769257736,0.2465869045924983,0.018671984100793387,0.2655603542655518,-0.2948965003365586,-0.11053288691946753,0.23517433935768137,0.398556502507411,-0.8664355885763203,-0.34099685330840657,0.1738888338410147,0.3030708691436304,-0.37435921344161155,-0.4147642829636612,-0.45151763747746965,-0.1880796229591817,0.05887630075719627,0.29970495527353097,-0.4671301055055817,0.20052208448899775,-0.24494078535646677,-0.46641297761988915,-0.9074622689728086,-0.4535674069020131,-0.5750147161233136
2024-05-23,-0.6257797888881246,-0.7859800110266401,-2.4737623120401597,-1.1684686877118249,-1.4487360820885107,-0.9567695996880479,-0.30735231550335723,-0.2308297632846159,-1.760224985819064,0.10215651319497687,-0.21517198214048985,-0.04214084731024472,-1.834496214141896,-0.27536941601944226,0.3197737181546816,0.23724270134230124,-0.4011778556011531,-0.5015321953659844,0.2607109048623388,0.184317990954756,-0.1388809694927667,0.18508374819434464,0.04926310333723792,0.23659374253568793,-1.1696458983035907,-0.8698342198288185,-2.5110121600198414,-1.336634398232948,-0.4558060453188522,-0.35525208400811126,-0.6652697498651877,0.029858928116222143,-0.3573238398771359,0.11421865739561698,-0.41220580031144033,-0.07761044641259367,-0.3412221893737537,-1.0462555828131126,0.06672003443792433,-0.019040369248852346,-1.077041386920112,-0.5960281807893328,-1.4954231327805705,-0.029987009955302995,-0.1835635620435427,0.05877813787897179,-0.1093360011587,-0.130702818181335,-0.39830635259420416,-0.1735701226468691,-0.29532941274873775,-0.9540420260389826,-0.9285921534339875,-0.6590612863256862,-0.5405802795431396,-0.5886695369871776,-0.5037865595579167,-0.5627191150348175,-0.42899952864043917,-1.7826252053286658,-1.1162705447252657,0.021590590336790134,0.1878782771895921,-0.07341572217057872,-0.42895730182215014,0.11094011603232874,-0.12595727952181712,-0.025758377186987244,-0.48747094001686714,-0.628763397677339,-0.7870588153938044,-0.27002020966617474,-0.14510504026761686,-0.5048381405621297,0.23787216986496837,0.012428765792396471,0.2609807867875023,-0.3071247148258038,-0.1125860141517708,0.23708867531098687,0.4017228424719568,-0.8568498565551113,-0.34655567695991396,0.17570646650112073,0.29973426205070647,-0.3877728757429315,-0.4039607252016408,-0.45719413475653176,-0.20090883079504487,0.061348085979428625,0.28716541940353846,-0.46993550368163195,0.1971887221631184,-0.24260868940942132,-0.4774650055390434,-0.9174975457657292,-0.44049652921976273,-0.5741714678386575
2024-05-24,-0.6209400403743635,-0.7852310124169133,-2.500822080413332,-1.1634525653724743,-1.4463724077329516,-0.9536382042029451,-0.31246303465713526,-0.22979277784835328,-1.7500020342206706,0.10436433635270943,-0.2177273370312311,-0.0347782600831262,-1.8303755445655823,-0.27568119156863663,0.3268586366188509,0.2396136300661935,-0.4004855105939901,-0.4952505265615901,0.2589332942435496,0.18427156369067144,-0.13307343250410017,0.18901260622929889,0.05100470222502361,0.24056077308927162,-1.1684272217415066,-0.8656772405962071,-2.4984166215206494,-1.3354301085314118,-0.4492874265319547,-0.3529439738749958,-0.6647948474981213,0.03715445925356368,-0.3513410704184129,0.1122798810841446,-0.40441998099536375,-0.08082549393100141,-0.33494387501793915,-1.0381040646958348,0.06981014619149493,-0.014892127926552843,-1.0792515253053072,-0.5916450770281125,-1.4940493322649744,-0.029803334243799193,-0.17997943318871787,0.06586112385734831,-0.10559900455229528,-0.12931371431296707,-0.39157161559214254,-0.17091683175903835,-0.29490080204701846,-0.9492835433174927,-0.925123944456001,-0.6704133595768909,-0.5322954094808366,-0.5817030941839304,-0.500843174594237,-0.5588523650456053,-0.42337323497256113,-1.782458892881505,-1.1104876466492946,0.028709216319462116,0.19310598870801457,-0.07276085347447626,-0.42405131712136673,0.11049804089269338,-0.12459417221431313,-0.028890099015528147,-0.4815648648356869,-0.6244592241036192,-0.7900063941918322,-0.2711892813921206,-0.14985347564513418,-0.5080360520649377,0.24138954232257373,0.01693477245047651,0.2670542874673425,-0.3019517756798914,-0.11443047716244746,0.24164011710874778,0.4036328365763234,-0.8489754772312755,-0.3400781459902612,0.17241803703389094,0.3023178786381014,-0.3873674405297659,-0.40151238094177455,-0.45461137065817586,-0.20781680776140196,0.06273410287103713,0.28761671526426613,-0.46949582323999134,0.19734242474031088,-0.23955442469645716,-0.4720399199360283,-0.9205220366919398,-0.4375099915454101,-0.5645001310550883
2024-05-28,-0.623316751033773,-0.7850174201001777,-2.5025137035992557,-1.1681587724927605,-1.4520030233161585,-0.9510983883626831,-0.3133857431963951,-0.22854048055396878,-1.7502437994690205,0.10524027137467806,-0.21486687496255613,-0.03767741906755233,-1.829358757592362,-0.2717991380457995,0.3290094758438544,0.24246894903049543,-0.4003578911282254,-0.49153370854443296,0.2597055354151461,0.1880061067324844,-0.13430770846449688,0.19176590977920957,0.052066107992304,0.24319193217722912,-1.1644414169636426,-0.8675358940860088,-2.5039754346122813,-1.3443655726944117,-0.44573516003075697,-0.3454241656769987,-0.662825505489718,0.03747139070094185,-0.34858242633879377,0.11711549154689849,-0.4027233946150548,-0.08194346211568392,-0.33259371450374187,-1.0354140988601699,0.06828357082341087,-0.013188477531006082,-1.0786297490084369,-0.5906918422289258,-1.4967841369360562,-0.029043814491503055,-0.17561787529652523,0.07037181327938534,-0.10134158950193119,-0.12261260448551366,-0.38621732267202735,-0.16948348166962524,-0.29072003573080135,-0.9452085529689266,-0.8977273898747257,-0.6691828054746748,-0.5278408724697559,-0.5772827213699907,-0.49816390123051824,-0.5564299957479276,-0.42270164325906345,-1.7792506630939422,-1.0889080992912261,0.027546303636436648,0.19456940072645246,-0.06867637869520381,-0.4161533982875997,0.11309453645283174,-0.12358188213005751,-0.02475806918955721,-0.4761151688413188,-0.621835154160687,-0.7927550166460391,-0.270937326133723,-0.15097350720471495,-0.5024881077437306,0.24493595616603286,0.017274756805701532,0.2680928686153014,-0.3011402896556302,-0.1177210564612407,0.24280809490786218,0.4082931253269034,-0.8475573803320351,-0.33847918167027674,0.1702893808365027,0.30439653532111544,-0.3875922701778686,-0.39895091953212863,-0.45056705263750996,-0.20078810545383552,0.06323119046715113,0.29066712632458486,-0.46105594244690873,0.19910959351498314,-0.23596730343558858,-0.46535144715602456,-0.9159718315765926,-0.4275530301224911,-0.5589190968185388
2024-05-29,-0.6306507716853816,-0.7528196281239445,-2.2696331423257465,-1.2257783802589266,-1.4747321193220333,-0.9519107163474163,-0.3190908168033747,-0.22908957747711844,-1.776374067583916,0.10356520470667274,-0.20679689747412103,-0.07149027794943537,-1.7798038898960296,-0.2660462569978885,0.3275358217359784,0.24691575596320628,-0.40407852199563005,-0.5322293832203899,0.2648091711264511,0.1734219910073596,-0.16692734207932625,0.18738738225407928,0.041356371072143454,0.25602220187767744,-1.0984204423945019,-0.8803451463221308,-2.4323511491065157,-1.4061494441085727,-0.4497642598556128,-0.3164556816168841,-0.6500429731310876,0.0468139566101384,-0.33798772190546955,0.10535852601377413,-0.406767830356096,-0.07059813247492729,-0.31650490881902715,-1.04300678497378,0.04678028163823132,-0.038913460224182926,-1.02974386133698,-0.6251993976467924,-1.532260893829441,-0.03447555646535539,-0.19547056050050524,0.06435800210625715,-0.09977893236979452,-0.10958977464129772,-0.38135180918218103,-0.21379472357316995,-0.27772270166608193,-0.9659447266023374,-0.925564804631888,-0.6858972554032765,-0.5602767153340407,-0.5607163561217352,-0.49299323161199393,-0.5670334232451515,-0.4396359589573567,-1.728109594453081,-1.1273943465396148,0.018882712374880133,0.20055433332681064,-0.08827460731488335,-0.42651368665396117,0.1275002292083434,-0.13993622471046055,-0.04271554481740568,-0.4770558256167701,-0.6193307454585211,-0.8031871233610263,-0.2860500966563174,-0.14861674061162078,-0.552345563807883,0.22955428362817212,0.008710660438589157,0.2557057739502143,-0.357332709138846,-0.12920083611787245,0.2369401857523295,0.38634080002299287,-0.873951350052684,-0.3419541700211243,0.16717510417978396,0.29746581759442026,-0.391265042680181,-0.4008360210566715,-0.4542702615265814,-0.23680232817989674,0.04784432549122657,0.3015803867547347,-0.40882386595254144,0.2039015906238588,-0.2307636202085262,-0.47072941840002863,-0.863090570197098,-0.433196083053841,-0.5634609627384415
2024-05-30,-0.6285368496293922,-0.7462668364089875,-2.2983035218547507,-1.2021996249315836,-1.4698765729319008,-0.9663768554091207,-0.3346047789494926,-0.22648873660612126,-1.7608819765883128,0.10899029190586791,-0.20518840343921532,-0.08429721840975984,-1.6837203731767576,-0.2598788492628971,0.3352787883460072,0.25058034730984363,-0.3644308391551815,-0.5208214432279333,0.2561538776386003,0.16630374021724068,-0.1779165028645546,0.18810313324470326,0.04247447855673844,0.25854786089011844,-1.0512491512932205,-0.8688156648565976,-2.4306773184705643,-1.3722497642840628,-0.45946313028188607,-0.32318389779510553,-0.6169789561475707,0.047815748429750636,-0.32541768623533246,0.11470198206239014,-0.41113906689271673,-0.07648667109328192,-0.317996284843946,-1.0239628435042814,0.06267718416023363,-0.040503883666784576,-1.0600385767498879,-0.6421874124524392,-1.5008961322404275,-0.036046333963151024,-0.2078737434927881,0.05257347453631368,-0.09472667189661894,-0.116689128816621,-0.3740942776773065,-0.22388211250438578,-0.2791380894440789,-0.9861339135006325,-0.9347107795866525,-0.6971288691586138,-0.540829809297089,-0.5645941825868818,-0.47645294857242093,-0.5327751289197197,-0.4496000344939039,-1.721115278138632,-1.130564491386495,0.009671607344148464,0.20331252282746112,-0.0933977182432639,-0.42994702475394353,0.12783900087863206,-0.12736840010176215,-0.06129310362085081,-0.48294161377353106,-0.6164058973663876,-0.8127336557903022,-0.29269926249440464,-0.16655377308060268,-0.5707409553394726,0.2290374310196905,0.0052070081113339975,0.25386572998357815,-0.3760956820476943,-0.14698576902357427,0.2583432066089067,0.38676099664200614,-0.8941024492941342,-0.33448217778619044,0.16519797183276938,0.29959525805731074,-0.3960316969249283,-0.40130483590329064,-0.47365864007930636,-0.2590451918673937,0.03986543050572052,0.3057528109327201,-0.38221215674263276,0.20501157550931348,-0.24401961594584215,-0.47845379566899615,-0.8509212151465283,-0.448985817219649,-0.5457206693747488
2024-05-31,-0.6064586200885087,-0.7751528330856053,-2.293119119206559,-1.1938043012430284,-1.462482627381771,-0.9780989893128368,-0.3258954411891127,-0.21583666707293592,-1.6928598987968764,0.09772684640086439,-0.19752014922481853,-0.08320686006630866,-1.6814687698644832,-0.2640788536360446,0.3357251149071362,0.24558157131386932,-0.34693724168328266,-0.49196864376644955,0.23053992384487573,0.17033664776649227,-0.16712009895481103,0.18604845209090404,0.03817700110762169,0.2448124883271106,-1.1083601900474673,-1.0799225719577887,-2.379027463966389,-1.3469952066034525,-0.4561626602827249,-0.33277530217184886,-0.6346440093687438,0.058757588353238216,-0.31536305096512685,0.1197651202014947,-0.39872577034573575,-0.06681736896313226,-0.3364466925452142,-0.9995570906823054,0.07753220105096904,-0.04566092661504444,-1.100008641075878,-0.6231080009990413,-1.4705710255445927,-0.02524952477955477,-0.18479787276661688,0.05332920736887926,-0.06859211863233977,-0.09319794799143831,-0.3769687699905796,-0.24019246929463964,-0.28033627137048034,-0.9695130129348078,-0.9999134085332556,-0.6849051008507464,-0.5256772927024949,-0.5575542613288021,-0.48166679410826446,-0.5167275845540333,-0.4138241034142582,-1.702620085116863,-1.0986840273599017,0.017213268449813385,0.2023369860944195,-0.08738497111863536,-0.4245897613511193,0.14091885726026399,-0.10553101047920946,-0.07150986200803594,-0.47013910886208243,-0.5963203190225936,-0.7835901361721911,-0.2922371262582504,-0.16567778438689001,-0.5784232101134624,0.2386797348528892,0.009418708389681995,0.26332890065379444,-0.3712129904578084,-0.15065835763040272,0.2531010334511353,0.3966978760033464,-0.8684800071469709,-0.31728554779430523,0.15832066270141454,0.29984812077545514,-0.3869428983176802,-0.40734874645769537,-0.4402310715526862,-0.2521733293104355,0.04683378838252063,0.28727407470462374,-0.37144713266323787,0.20769389142039096,-0.2296379002860449,-0.4771070794104172,-0.8349369070095685,-0.4377104874543838,-0.5074020890628352
2024-06-03,-0.6086244259879175,-0.7733818677280632,-2.2671403511663186,-1.2005809682979778,-1.4784630708620876,-0.9787408002790506,-0.3287569038826553,-0.20109348212710956,-1.716865659580006,0.0968768166415714,-0.19495197021911548,-0.05969576588788737,-1.7061631201623253,-0.2564808095517634,0.33808927998291766,0.25551743425490614,-0.35626302226207934,-0.4710072290898978,0.2266815060031965,0.17458712873987678,-0.14660334944181994,0.194549290028468,0.039498977826072354,0.24847074793703303,-1.118035658153162,-1.07645100507698,-2.352026275579913,-1.3634058823601831,-0.4335841565029073,-0.32310904535098856,-0.6361688089683423,0.06815788203600852,-0.307129110436255,0.12007654511969683,-0.3748168855794825,-0.05977178200154346,-0.3409181023189205,-0.9961045311062049,0.07855086491729536,-0.03697204736674064,-1.1130183553579982,-0.620739533624725,-1.4694705267262214,-0.012501192701676846,-0.18717240990174308,0.05175301440533025,-0.05512375891349604,-0.07930752213867572,-0.37128985891885197,-0.21819736182489366,-0.2835568562933422,-0.9612373991553602,-1.022448257399289,-0.6800822858264984,-0.5026868841231997,-0.5437455248429935,-0.46923266146100795,-0.5181878485573918,-0.4095741044697409,-1.6980521682572194,-1.1001925041545562,0.012107372899870407,0.19612174266936902,-0.09104704558534216,-0.41831165546588484,0.1527574317735372,-0.10698691412617624,-0.07179024708183765,-0.4570265744222658,-0.577377008772849,-0.7917244280283715,-0.3048164286607397,-0.1523792698783173,-0.5919690827786079,0.26586522260219303,0.014317443017730868,0.2757507614627661,-0.35619775753905447,-0.16333185380525211,0.2630452235052791,0.40864211456538285,-0.8446073507177129,-0.2960174209578588,0.1540841563666144,0.2991842349610788,-0.3674700585455655,-0.4166310222761906,-0.40932588140428844,-0.22210886954399045,0.047264091608100356,0.30345165576517036,-0.3843387138692254,0.22385679349249135,-0.2135908442496168,-0.46891945595336737,-0.8164581914289235,-0.4114594127021444,-0.5029723429061501
2024-06-04,-0.6044117995514978,-0.7693014105447662,-2.2593250757508043,-1.198053076803514,-1.4734093226301235,-0.9798716775912821,-0.32487181365367507,-0.1946841842377767,-1.712218050627189,0.10306829611615706,-0.18202710631964164,-0.0500753096578722,-1.7233937035666613,-0.24799692765407663,0.33631200716291015,0.26127121495657096,-0.358351685029924,-0.46049086257922844,0.22560849456852233,0.15943336742642858,-0.13685471483339798,0.1980086849123459,0.0409193180863939,0.2541633985182756,-1.1089749385259193,-1.1058660708910468,-2.3519867417789757,-1.3566436095077437,-0.4313214284521752,-0.31401995960294604,-0.6392268102288131,0.07166430315901465,-0.3080444186221791,0.1233616475211907,-0.37185746956933646,-0.055336560306169784,-0.33882076106831194,-0.9930539238312369,0.07915278617225935,-0.03924730352594222,-1.1200777024032205,-0.6176352432729446,-1.4663013474918114,-0.001354666524206775,-0.2039328383351521,0.05141791636293271,-0.049681342665527976,-0.06815280331054123,-0.36651302067269287,-0.21413246276194262,-0.28336024633261997,-0.953445651739059,-1.0200837162324798,-0.6638418851636742,-0.49397179420272114,-0.5432967996514769,-0.4825780015481233,-0.5050005970404228,-0.4155510283922162,-1.6982264023395008,-1.0950344981831641,0.009788458660194316,0.20127290680841184,-0.09647898769366707,-0.41326534854996766,0.1575703817857327,-0.11271393494569265,-0.05868038575095871,-0.44600858316056424,-0.5721909134219582,-0.7912316212552672,-0.2998284115426159,-0.15906717768847867,-0.5877790106639631,0.27417877812511765,0.014865439006467676,0.27176913206172804,-0.34672869331907075,-0.1640795212315971,0.26796351584973876,0.41254169264178303,-0.8340347007022552,-0.2876123838872851,0.15905580844496287,0.2935873944283441,-0.36402179012909414,-0.4096249465787782,-0.4089452239355944,-0.21881297724374926,0.05823717765129719,0.30866461198765865,-0.3778851752055916,0.23112773103009396,-0.20389342524467677,-0.45528616702888725,-0.8067360531495379,-0.4074215736366089,-0.5075343468795558
2024-06-05,-0.6030868687064566,-0.7656863382805565,-2.2676576460123994,-1.194209337814041,-1.477981437803401,-0.978109838476533,-0.3210410199134576,-0.1908746698775328,-1.7037156692792625,0.1132846018516359,-0.17615536791163564,-0.04497155308831508,-1.7135698859243107,-0.24450591952724757,0.3439660271555065,0.27337948734351314,-0.3560500503135976,-0.44991189176993357,0.2324573483873308,0.1740364345921226,-0.12793160926505776,0.21145444911840872,0.04782990889884766,0.26385832859018193,-1.094657887750914,-1.1101257428129077,-2.3695732317162546,-1.364333347206481,-0.4198905947843082,-0.3141837661950503,-0.6244648426407512,0.08090214127201158,-0.301068610311865,0.13104077387033086,-0.36394097715424795,-0.051113871212933586,-0.3342502822787604,-0.9972572456012561,0.08214554064607935,-0.02951798362749938,-1.1209004381045702,-0.6066528684824923,-1.4736502946153947,0.008961889587246556,-0.1976910786495267,0.059177759264520916,-0.03152679299944824,-0.06300255719864498,-0.35816559521163627,-0.20668452773096613,-0.2740887000905001,-0.9226864253911943,-1.0113979726581661,-0.6623406675473487,-0.482548064957295,-0.5351200319100102,-0.47421819149230077,-0.49065194675160906,-0.40430474163679825,-1.7059971890584693,-1.0979745436559596,0.02338368997240832,0.20901809834875312,-0.0911075448499134,-0.4047427370157262,0.16516209049367506,-0.10424988894814441,-0.05611300423531234,-0.42269136933302964,-0.5620259745363692,-0.7890314505340958,-0.2991253478038193,-0.14354676275228034,-0.5741214110110524,0.2824613256905396,0.023722013369013993,0.2745283345832955,-0.33193283031294585,-0.16111234973525118,0.272975078087645,0.4193983367734525,-0.824536396000582,-0.2730270998997223,0.17482246606301247,0.3047216428967576,-0.352679999835568,-0.40285430392446964,-0.4042904009860778,-0.21775142349505272,0.06128053727332483,0.3195952255558295,-0.3708280652956678,0.23769016400053763,-0.1996643277373515,-0.4436793225137187,-0.7991441132271933,-0.37368537787303985,-0.49609203131599705
